S.no,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
290,Chocolate syrup,2 T.,40,80,t,t,t,0,22,"Desserts, sweets"
291,Doughnuts,1,33,135,2,7,4,t,17,"Desserts, sweets"
292,"Gelatin, made with water",1 cup,239,155,4,t,t,0,36,"Desserts, sweets"
293,Honey,2 T.,42,120,t,0,0,0,30,"Jams, Jellies"
294,Ice cream,2 cups,300,250,0,0,12,10,0,"Desserts, sweets"
295,Ices,1 cup,150,117,0,0,0,0,48,"Desserts, sweets"
296,preserves,1 T.,20,55,0,0,0,t,14,"Jams, Jellies"
297,Jellies,1 T.,20,50,0,0,0,0,13,"Jams, Jellies"
298,Molasses,1 T.,20,45,0,0,0,8,11,"Jams, Jellies"
299,Cane Syrup,1 T.,20,50,0,0,0,0,13,"Jams, Jellies"
300,"9"" diam. pie",1 slice,135,330,3,13,11,0.1,53,"Desserts, sweets"
301,Cherry Pie,1 slice,135,340,3,13,11,0.1,55,"Desserts, sweets"
302,Custard,1 slice,130,265,7,11,10,0,34,"Desserts, sweets"
303,Lemon meringue,1 slice,120,300,4,12,10,0.1,45,"Desserts, sweets"
304,Mince,1 slice,135,340,3,9,8,0.7,62,"Desserts, sweets"
305,Pumpkin Pie,1 slice,130,265,5,12,11,8,34,"Desserts, sweets"
306,Puddings Sugar,1 cup,200,770,0,0,0,0,199,"Desserts, sweets"
307,3 teaspoons sugar,1 T.,12,50,0,0,0,0,12,"Desserts, sweets"
308,"Brown, firm-packed, dark sugar",1 cup,220,815,0,t,0,0,210,"Jams, Jellies"
309,Syrup,2 T.,40,100,0,0,0,0,25,"Jams, Jellies"
310,table blends sugar,2 T.,40,110,0,0,0,0,29,"Jams, Jellies"
311,Tapioca cream pudding,1 cup,250,335,10,10,9,0,42,"Desserts, sweets"
312,Almonds,1/2 cup,70,425,13,38,28,1.8,13,Seeds and Nuts
313,roasted and salted,1/2 cup,70,439,13,40,31,1.8,13,Seeds and Nuts
314,Brazil nuts,1/2 cup,70,457,10,47,31,2,7,Seeds and Nuts
315,Cashews,1/2 cup,70,392,12,32,28,0.9,20,Seeds and Nuts
316,coconut sweetened,1/2 cup,50,274,1,20,19,2,26,Seeds and Nuts
317,Peanut butter,1/3 cup,50,300,12,25,17,0.9,9,Seeds and Nuts
318,"Peanut butter, natural",1/3 cup,50,284,13,24,10,0.9,8,Seeds and Nuts
319,Peanuts,1/3 cup,50,290,13,25,16,1.2,9,Seeds and Nuts
320,Pecans,1/2 cup,52,343,5,35,25,1.1,7,Seeds and Nuts
321,Sesame seeds,1/2 cup,50,280,9,24,13,3.1,10,Seeds and Nuts
322,Sunflower seeds,1/2 cup,50,280,12,26,7,1.9,10,Seeds and Nuts
323,Walnuts,1/2 cup,50,325,7,32,7,1,8,Seeds and Nuts
324,Beer,2 cups,480,228,t,0,0,0,8,"Drinks,Alcohol, Beverages"
325,Gin,1 oz.,28,70,0,0,0,0,t,"Drinks,Alcohol, Beverages"
326,Wines,1/2 cup,120,164,t,0,0,0,9,"Drinks,Alcohol, Beverages"
327,Table (12.2% alcohol),1/2 cup,120,100,t,0,0,0,5,"Drinks,Alcohol, Beverages"
328,Carbonated drinks Artificially sweetened,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
329,Club soda,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
330,Cola drinks,12 oz.,346,137,0,0,0,0,38,"Drinks,Alcohol, Beverages"
331,Fruit-flavored soda,12 oz.,346,161,0,0,0,0,42,"Drinks,Alcohol, Beverages"
332,Ginger ale,12 oz.,346,105,0,0,0,0,28,"Drinks,Alcohol, Beverages"
333,Root beer,12 oz.,346,140,0,0,0,0,35,"Drinks,Alcohol, Beverages"
334,Coffee,1 cup,230,3,t,0,0,0,1,"Drinks,Alcohol, Beverages"
335,Tea,1 cup,230,4,0,t,0,0,1,"Drinks,Alcohol, Beverages"
